Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
41,Evil Geniuses,1,EG.s4,Dark Seer,Off Lane,3,1,13,9.7,130,490,545,11.3,Soul Ring,2.0,Vanguard,7.0,Arcane Boots,11.0,Magic Stick,11.0,Mekansm,17.0,Cloak,18.0
41,Evil Geniuses,1,EG.Cr1t-,Earth Spirit,Roaming,3,3,16,6.1,28,337,370,11.7,Orb of Venom,0.0,Boots of Speed,3.0,Magic Stick,6.0,Spirit Vessel,18.0,,,,
42,Evil Geniuses,0,EG.Arteezy,Ursa,Safe Lane,11,8,14,22.2,304,523,666,35.0,Phase Boots,8.0,Drum of Endurance,10.0,Black King Bar,24.0,Blink Dagger,30.0,Abyssal Blade,41.0,,
42,Evil Geniuses,0,EG.Suma1L,Alchemist,Jungle,13,8,21,29.5,652,1.1k,777,48.1,Radiance,14.0,Blink Dagger,16.0,Manta Style,19.0,Shiva's Guard,23.0,Octarine Core,27.0,Boots of Travel,42.0
42,Evil Geniuses,0,EG.Fly,Silencer,Safe Lane,7,6,22,9.7,91,378,625,21.6,Observer and Sentry Wards,9.0,Tranquil Boots,17.0,Force Staff,25.0,Ghost Scepter,35.0,Lotus Orb,46.0,,
42,Evil Geniuses,0,EG.s4,Doom,Off Lane,2,10,23,13.8,177,404,513,20.4,Magic Wand,8.0,Clarity,9.0,Crimson Guard,26.0,Blink Dagger,32.0,Boots of Travel,44.0,Black King Bar,46.0
42,Evil Geniuses,0,EG.Cr1t-,Earth Spirit,Mid Lane,5,10,24,15.6,99,361,634,26.1,Wind Lace,12.0,Magic Wand,15.0,Tranquil Boots,15.0,Spirit Vessel,25.0,Ethereal Blade,40.0,,
43,Evil Geniuses,1,EG.Arteezy,Sven,Safe Lane,15,2,14,29.5,441,829,780,35.4,Power Treads,11.0,Black King Bar,19.0,Blink Dagger,21.0,Daedalus,29.0,Butterfly,33.0,Assault Cuirass,38.0
43,Evil Geniuses,1,EG.Suma1L,Storm Spirit,Mid Lane,14,5,18,22.7,349,630,701,30.8,Kaya,13.0,Eul's Scepter of Divinity,18.0,Orchid Malevolence,26.0,Aghanim's Scepter,33.0,Boots of Travel,36.0,Bloodstone,39.0
43,Evil Geniuses,1,EG.Fly,Silencer,Safe Lane,4,4,27,8.8,49,332,521,9.5,Observer and Sentry Wards,0.0,Tranquil Boots,18.0,Magic Wand,19.0,Glimmer Cape,31.0,Force Staff,38.0,,
43,Evil Geniuses,1,EG.s4,Puck,Off Lane,3,4,16,18.4,230,477,584,19.8,Magic Wand,7.0,Veil of Discord,11.0,Blink Dagger,17.0,Power Treads,20.0,Aghanim's Scepter,30.0,Eul's Scepter of Divinity,35.0
